Game Date,Home Team,Away Team,Skor Home Team,Skor Away Team,Venue
16/08/2024,Man United,Fulham,1,0,Old Trafford
17/08/2024,Ipswich,Liverpool,0,2,Portman Road
17/08/2024,Arsenal,Wolves,2,0,Emirates Stadium
17/08/2024,Everton,Brighton,0,3,Goodison Park
17/08/2024,Newcastle,Southampton,1,0,St James' Park
17/08/2024,Nott'm Forest,Bournemouth,1,1,The City Ground
17/08/2024,West Ham,Aston Villa,1,2,London Stadium
18/08/2024,Brentford,Crystal Palace,2,1,Gtech Community Stadium
18/08/2024,Chelsea,Man City,0,2,Stamford Bridge
19/08/2024,Leicester,Tottenham,1,1,King Power Stadium
24/08/2024,Brighton,Man United,2,1,AMEX Stadium
24/08/2024,Crystal Palace,West Ham,0,2,Selhurst Park
24/08/2024,Fulham,Leicester,2,1,Craven Cottage
24/08/2024,Man City,Ipswich,4,1,Etihad Stadium
24/08/2024,Southampton,Nott'm Forest,0,1,St Mary's Stadium
24/08/2024,Tottenham,Everton,4,0,Tottenham Hotspur Stadium
24/08/2024,Aston Villa,Arsenal,0,2,Villa Park
25/08/2024,Bournemouth,Newcastle,1,1,Vitality Stadium
25/08/2024,Wolves,Chelsea,2,6,Molineux Stadium
25/08/2024,Liverpool,Brentford,2,0,Anfield
31/08/2024,Arsenal,Brighton,1,1,Emirates Stadium
31/08/2024,Brentford,Southampton,3,1,Gtech Community Stadium
31/08/2024,Everton,Bournemouth,2,3,Goodison Park
31/08/2024,Ipswich,Fulham,1,1,Portman Road
31/08/2024,Leicester,Aston Villa,1,2,King Power Stadium
31/08/2024,Nott'm Forest,Wolves,1,1,The City Ground
31/08/2024,West Ham,Man City,1,3,London Stadium
01/09/2024,Chelsea,Crystal Palace,1,1,Stamford Bridge
01/09/2024,Newcastle,Tottenham,2,1,St James' Park
01/09/2024,Man United,Liverpool,0,3,Old Trafford
14/09/2024,Southampton,Man United,0,3,St Mary's Stadium
14/09/2024,Brighton,Ipswich,0,0,AMEX Stadium
14/09/2024,Crystal Palace,Leicester,2,2,Selhurst Park
14/09/2024,Fulham,West Ham,1,1,Craven Cottage
14/09/2024,Liverpool,Nott'm Forest,0,1,Anfield
14/09/2024,Man City,Brentford,2,1,Etihad Stadium
14/09/2024,Aston Villa,Everton,3,2,Villa Park
14/09/2024,Bournemouth,Chelsea,0,1,Vitality Stadium
15/09/2024,Tottenham,Arsenal,0,1,Tottenham Hotspur Stadium
15/09/2024,Wolves,Newcastle,1,2,Molineux Stadium
21/09/2024,West Ham,Chelsea,0,3,London Stadium
21/09/2024,Aston Villa,Wolves,3,1,Villa Park
21/09/2024,Fulham,Newcastle,3,1,Craven Cottage
21/09/2024,Leicester,Everton,1,1,King Power Stadium
21/09/2024,Liverpool,Bournemouth,3,0,Anfield
21/09/2024,Southampton,Ipswich,1,1,St Mary's Stadium
21/09/2024,Tottenham,Brentford,3,1,Tottenham Hotspur Stadium
21/09/2024,Crystal Palace,Man United,0,0,Selhurst Park
22/09/2024,Brighton,Nott'm Forest,2,2,AMEX Stadium
22/09/2024,Man City,Arsenal,2,2,Etihad Stadium
28/09/2024,Newcastle,Man City,1,1,St James' Park
28/09/2024,Arsenal,Leicester,4,2,Emirates Stadium
28/09/2024,Brentford,West Ham,1,1,Gtech Community Stadium
28/09/2024,Chelsea,Brighton,4,2,Stamford Bridge
28/09/2024,Everton,Crystal Palace,2,1,Goodison Park
28/09/2024,Nott'm Forest,Fulham,0,1,The City Ground
28/09/2024,Wolves,Liverpool,1,2,Molineux Stadium
29/09/2024,Ipswich,Aston Villa,2,2,Portman Road
29/09/2024,Man United,Tottenham,0,3,Old Trafford
30/09/2024,Bournemouth,Southampton,3,1,Vitality Stadium
05/10/2024,Crystal Palace,Liverpool,0,1,Selhurst Park
05/10/2024,Arsenal,Southampton,3,1,Emirates Stadium
05/10/2024,Brentford,Wolves,5,3,Gtech Community Stadium
05/10/2024,Leicester,Bournemouth,1,0,King Power Stadium
05/10/2024,Man City,Fulham,3,2,Etihad Stadium
05/10/2024,West Ham,Ipswich,4,1,London Stadium
05/10/2024,Everton,Newcastle,0,0,Goodison Park
06/10/2024,Aston Villa,Man United,0,0,Villa Park
06/10/2024,Chelsea,Nott'm Forest,1,1,Stamford Bridge
06/10/2024,Brighton,Tottenham,3,2,AMEX Stadium
19/10/2024,Tottenham,West Ham,4,1,Tottenham Hotspur Stadium
19/10/2024,Fulham,Aston Villa,1,3,Craven Cottage
19/10/2024,Ipswich,Everton,0,2,Portman Road
19/10/2024,Man United,Brentford,2,1,Old Trafford
19/10/2024,Newcastle,Brighton,0,1,St James' Park
19/10/2024,Southampton,Leicester,2,3,St Mary's Stadium
19/10/2024,Bournemouth,Arsenal,2,0,Vitality Stadium
20/10/2024,Wolves,Man City,1,2,Molineux Stadium
20/10/2024,Liverpool,Chelsea,2,1,Anfield
21/10/2024,Nott'm Forest,Crystal Palace,1,0,The City Ground
25/10/2024,Leicester,Nott'm Forest,1,3,King Power Stadium
26/10/2024,Aston Villa,Bournemouth,1,1,Villa Park
26/10/2024,Brentford,Ipswich,4,3,Gtech Community Stadium
26/10/2024,Brighton,Wolves,2,2,AMEX Stadium
26/10/2024,Man City,Southampton,1,0,Etihad Stadium
26/10/2024,Everton,Fulham,1,1,Goodison Park
27/10/2024,Chelsea,Newcastle,2,1,Stamford Bridge
27/10/2024,Crystal Palace,Tottenham,1,0,Selhurst Park
27/10/2024,West Ham,Man United,2,1,London Stadium
27/10/2024,Arsenal,Liverpool,2,2,Emirates Stadium
02/11/2024,Newcastle,Arsenal,1,0,St James' Park
02/11/2024,Bournemouth,Man City,2,1,Vitality Stadium
02/11/2024,Ipswich,Leicester,1,1,Portman Road
02/11/2024,Liverpool,Brighton,2,1,Anfield
02/11/2024,Nott'm Forest,West Ham,3,0,The City Ground
02/11/2024,Southampton,Everton,1,0,St Mary's Stadium
02/11/2024,Wolves,Crystal Palace,2,2,Molineux Stadium
03/11/2024,Tottenham,Aston Villa,4,1,Tottenham Hotspur Stadium
03/11/2024,Man United,Chelsea,1,1,Old Trafford
04/11/2024,Fulham,Brentford,2,1,Craven Cottage
09/11/2024,Brentford,Bournemouth,3,2,Gtech Community Stadium
09/11/2024,Crystal Palace,Fulham,0,2,Selhurst Park
09/11/2024,West Ham,Everton,0,0,London Stadium
09/11/2024,Wolves,Southampton,2,0,Molineux Stadium
09/11/2024,Brighton,Man City,2,1,AMEX Stadium
09/11/2024,Liverpool,Aston Villa,2,0,Anfield
10/11/2024,Man United,Leicester,3,0,Old Trafford
10/11/2024,Nott'm Forest,Newcastle,1,3,The City Ground
10/11/2024,Tottenham,Ipswich,1,2,Tottenham Hotspur Stadium
10/11/2024,Chelsea,Arsenal,1,1,Stamford Bridge
23/11/2024,Leicester,Chelsea,1,2,King Power Stadium
23/11/2024,Arsenal,Nott'm Forest,3,0,Emirates Stadium
23/11/2024,Aston Villa,Crystal Palace,2,2,Villa Park
23/11/2024,Bournemouth,Brighton,1,2,Vitality Stadium
23/11/2024,Everton,Brentford,0,0,Goodison Park
23/11/2024,Fulham,Wolves,1,4,Craven Cottage
23/11/2024,Man City,Tottenham,0,4,Etihad Stadium
24/11/2024,Southampton,Liverpool,2,3,St Mary's Stadium
24/11/2024,Ipswich,Man United,1,1,Portman Road
25/11/2024,Newcastle,West Ham,0,2,St James' Park
29/11/2024,Brighton,Southampton,1,1,AMEX Stadium
30/11/2024,Brentford,Leicester,4,1,Gtech Community Stadium
30/11/2024,Crystal Palace,Newcastle,1,1,Selhurst Park
30/11/2024,Nott'm Forest,Ipswich,1,0,The City Ground
30/11/2024,Wolves,Bournemouth,2,4,Molineux Stadium
30/11/2024,West Ham,Arsenal,2,5,London Stadium
01/12/2024,Chelsea,Aston Villa,3,0,Stamford Bridge
01/12/2024,Man United,Everton,4,0,Old Trafford
01/12/2024,Tottenham,Fulham,1,1,Tottenham Hotspur Stadium
01/12/2024,Liverpool,Man City,2,0,Anfield
03/12/2024,Ipswich,Crystal Palace,0,1,Portman Road
03/12/2024,Leicester,West Ham,3,1,King Power Stadium
04/12/2024,Everton,Wolves,4,0,Goodison Park
04/12/2024,Man City,Nott'm Forest,3,0,Etihad Stadium
04/12/2024,Newcastle,Liverpool,3,3,St James' Park
04/12/2024,Southampton,Chelsea,1,5,St Mary's Stadium
04/12/2024,Arsenal,Man United,2,0,Emirates Stadium
04/12/2024,Aston Villa,Brentford,3,1,Villa Park
05/12/2024,Fulham,Brighton,3,1,Craven Cottage
05/12/2024,Bournemouth,Tottenham,1,0,Vitality Stadium
07/12/2024,Aston Villa,Southampton,1,0,Villa Park
07/12/2024,Brentford,Newcastle,4,2,Gtech Community Stadium
07/12/2024,Crystal Palace,Man City,2,2,Selhurst Park
07/12/2024,Man United,Nott'm Forest,2,3,Old Trafford
08/12/2024,Fulham,Arsenal,1,1,Craven Cottage
08/12/2024,Ipswich,Bournemouth,1,2,Portman Road
08/12/2024,Leicester,Brighton,2,2,King Power Stadium
08/12/2024,Tottenham,Chelsea,3,4,Tottenham Hotspur Stadium
09/12/2024,West Ham,Wolves,2,1,London Stadium
14/12/2024,Arsenal,Everton,0,0,Emirates Stadium
14/12/2024,Liverpool,Fulham,2,2,Anfield
14/12/2024,Newcastle,Leicester,4,0,St James' Park
